Strike,Call Gamma OI,Put Gamma OI
3850,138.736,592.245
3855,5.715,65.664
3860,26.397999999999996,349.046
3865,10.607999999999999,51.088
3870,17.766,139.072
3875,180.778,177.242
3880,100.118,144.744
3885,143.06,748.4200000000001
3890,152.133,290.474
3895,71.7,123.582
3900,255.675,492.65999999999997
3905,59.411,180.19000000000003
3910,163.68,46.32999999999999
3915,64.944,111.36
3920,192.763,270.24
3925,54.81,96.831
3930,105.417,103.649
3935,282.396,277.548
3940,218.022,269.787
3945,138.84599999999998,106.172
