Call Open Interest,Call Volume,Call Theta,Call Vega,Call Gamma,Call Delta,Call Ask,Strike,Put Ask,Put Delta,Put Gamma,Put Vega,Put Theta,Put Volume,Put Open Interest
375,287,-4.917,1.504,0.347,66,66,3830,24.25,34,0.346,1.505,-4.914,67,303
212,342,-4.803,1.531,0.356,64,62.5,3835,25.5,35,0.357,1.53,-4.805,123,329
659,417,-4.69,1.554,0.368,62,58.75,3840,27,37,0.366,1.555,-4.687,246,533
437,223,-4.569,1.576,0.377,61,55.25,3845,28.25,39,0.378,1.575,-4.57,47,963
1506,317,-4.307,1.611,0.391,57,48.9,3850,31.88,42,0.392,1.611,-4.307,269,981
429,135,-4.451,1.593,0.393,59,51.11,3855,29.37,40,0.391,1.594,-4.448,80,354
962,138,-4.175,1.623,0.406,55,45,3860,33.25,44,0.403,1.623,-4.173,215,381
379,176,-4.032,1.632,0.414,53,41.75,3865,35,46,0.412,1.632,-4.031,237,843
554,192,-3.884,1.637,0.42,51,38.75,3870,37,48,0.418,1.637,-3.884,43,627
644,226,-3.73,1.638,0.427,49,35.75,3875,38.75,50,0.427,1.638,-3.731,70,426
970,420,-3.571,1.634,0.433,47,32.75,3880,41,53,0.43,1.634,-3.574,66,444
374,186,-3.408,1.624,0.437,44,30,3885,43,55,0.436,1.624,-3.409,49,392
411,442,-3.239,1.609,0.44,42,27.25,3890,45.5,57,0.437,1.609,-3.245,35,722
252,119,-3.069,1.588,0.441,40,24.75,3895,47.75,59,0.44,1.588,-3.07,19,150
1720,1365,-2.891,1.56,0.441,37,22.25,3900,50.5,62,0.437,1.562,-2.901,84,608
380,90,-2.715,1.527,0.438,35,20,3905,53.25,64,0.434,1.529,-2.727,116,236
549,326,-2.531,1.485,0.434,32,17.75,3910,56,67,0.43,1.488,-2.546,2,211
514,248,-2.351,1.438,0.427,30,15.75,3915,59,69,0.423,1.443,-2.369,212,219
820,978,-2.178,1.386,0.416,28,14,3920,62.25,71,0.413,1.393,-2.199,5,178
347,395,-4.995,1.483,0.337,67,69.25,3825,23.5,32,0.336,1.484,-4.991,111,1152
375,287,-4.889,1.51,0.348,65,65.5,3830,24.75,34,0.346,1.511,-4.885,67,303
212,342,-4.78,1.535,0.358,64,61.75,3835,26,36,0.357,1.536,-4.776,123,329
659,417,-4.662,1.559,0.368,62,58.25,3840,27.5,37,0.366,1.559,-4.658,246,533
437,223,-4.54,1.58,0.377,60,54.75,3845,29,39,0.376,1.58,-4.537,47,963
1506,317,-4.278,1.614,0.391,56,48.42,3850,32.66,43,0.389,1.614,-4.276,269,981
429,145,-4.421,1.596,0.394,59,50.59,3855,29.85,41,0.392,1.597,-4.419,80,354
962,138,-4.145,1.625,0.406,55,44.5,3860,33.75,45,0.404,1.625,-4.144,215,381
379,177,-4.001,1.633,0.414,53,41.25,3865,35.5,47,0.412,1.633,-4.001,237,843
554,192,-3.853,1.637,0.421,51,38.25,3870,37.5,49,0.418,1.637,-3.854,43,627
644,226,-3.699,1.637,0.427,48,35.25,3875,39.5,51,0.424,1.637,-3.701,70,426
970,420,-3.539,1.632,0.433,46,32.25,3880,41.75,53,0.427,1.632,-3.545,66,444
374,186,-3.375,1.621,0.437,44,29.5,3885,43.75,55,0.433,1.621,-3.38,49,392
411,442,-3.21,1.605,0.437,42,27,3890,46.25,57,0.434,1.606,-3.216,35,722
252,119,-3.033,1.582,0.441,39,24.25,3895,48.75,60,0.434,1.584,-3.048,19,150
1720,1365,-2.862,1.555,0.438,37,22,3900,51.25,62,0.434,1.556,-2.873,84,608
380,90,-2.686,1.52,0.435,35,19.75,3905,54,65,0.431,1.522,-2.699,116,236
549,326,-2.502,1.477,0.431,32,17.5,3910,57,67,0.424,1.484,-2.529,2,211
514,248,-2.322,1.429,0.424,30,15.5,3915,60,69,0.417,1.437,-2.353,212,219
820,978,-2.149,1.377,0.413,27,13.75,3920,63.25,71,0.407,1.387,-2.184,5,178
347,395,-5.016,1.478,0.335,67,70,3825,23,32,0.336,1.477,-5.019,111,1152
375,287,-4.912,1.505,0.345,66,66.25,3830,24.25,34,0.346,1.504,-4.914,67,303
212,342,-4.803,1.53,0.356,64,62.5,3835,25.5,35,0.357,1.53,-4.805,123,329
659,417,-4.686,1.555,0.365,62,59,3840,27,37,0.366,1.554,-4.687,247,533
437,223,-4.569,1.575,0.377,61,55.25,3845,28.5,39,0.375,1.576,-4.566,47,963
1506,317,-4.307,1.611,0.391,57,48.9,3850,32.14,42,0.389,1.611,-4.305,269,981
429,145,-4.448,1.593,0.391,59,51.36,3855,29.37,40,0.391,1.593,-4.448,80,354
962,138,-4.173,1.623,0.403,55,45.25,3860,33.25,44,0.403,1.623,-4.173,215,381
379,177,-4.031,1.632,0.412,53,42,3865,35,46,0.412,1.632,-4.031,237,843
554,192,-3.884,1.637,0.42,51,38.75,3870,37,48,0.418,1.637,-3.884,43,627
644,226,-3.73,1.638,0.427,49,35.75,3875,39,50,0.424,1.638,-3.732,70,426
970,420,-3.571,1.633,0.433,47,32.75,3880,41,53,0.43,1.633,-3.574,66,444
374,186,-3.408,1.624,0.437,44,30,3885,43.25,55,0.433,1.624,-3.413,49,392
411,442,-3.239,1.609,0.44,42,27.25,3890,45.5,57,0.437,1.609,-3.245,35,722
252,119,-3.069,1.588,0.441,40,24.75,3895,48,59,0.437,1.589,-3.076,19,150
1720,1365,-2.899,1.561,0.438,37,22.5,3900,50.5,62,0.437,1.561,-2.901,84,608
380,90,-2.715,1.526,0.438,35,20,3905,53.25,64,0.434,1.529,-2.727,116,236
549,326,-2.542,1.487,0.431,33,18,3910,56.25,66,0.427,1.491,-2.557,2,211
514,248,-2.364,1.441,0.424,30,16,3915,59.25,69,0.42,1.446,-2.382,212,219
820,978,-2.193,1.391,0.414,28,14.25,3920,62.5,71,0.41,1.396,-2.213,5,178
347,395,-4.995,1.483,0.337,67,69.25,3825,23.25,32,0.338,1.482,-4.997,111,1152
375,287,-4.889,1.51,0.348,65,65.5,3830,24.5,34,0.348,1.509,-4.891,67,303
212,342,-4.78,1.535,0.358,64,61.75,3835,26,36,0.357,1.535,-4.776,123,329
659,417,-4.662,1.558,0.368,62,58.25,3840,27.25,37,0.368,1.558,-4.663,247,533
437,223,-4.54,1.579,0.377,60,54.75,3845,28.75,39,0.378,1.579,-4.541,47,963
1506,317,-4.278,1.613,0.391,56,48.42,3850,32.4,43,0.392,1.613,-4.278,269,981
429,145,-4.421,1.596,0.394,59,50.59,3855,29.85,41,0.392,1.597,-4.419,80,354
962,138,-4.145,1.625,0.406,55,44.5,3860,33.75,45,0.404,1.625,-4.144,215,381
379,187,-4.001,1.633,0.414,53,41.25,3865,35.5,47,0.412,1.633,-4.001,237,843
554,192,-3.853,1.637,0.421,51,38.25,3870,37.5,49,0.418,1.637,-3.854,43,627
644,226,-3.699,1.637,0.427,48,35.25,3875,39.5,51,0.424,1.637,-3.701,70,426
970,421,-3.539,1.631,0.433,46,32.25,3880,41.5,53,0.43,1.632,-3.542,66,444
374,186,-3.379,1.621,0.434,44,29.75,3885,43.75,55,0.433,1.621,-3.38,49,392
411,442,-3.205,1.604,0.44,42,26.75,3890,46,58,0.437,1.605,-3.211,35,722
252,119,-3.04,1.583,0.438,39,24.5,3895,48.5,60,0.437,1.583,-3.041,19,150
1720,1365,-2.862,1.554,0.438,37,22,3900,51.25,62,0.434,1.556,-2.873,84,608
380,90,-2.686,1.52,0.435,35,19.75,3905,54,65,0.431,1.522,-2.699,116,236
549,326,-2.502,1.477,0.431,32,17.5,3910,56.75,67,0.427,1.481,-2.517,2,211
514,248,-2.335,1.433,0.421,30,15.75,3915,60,69,0.417,1.437,-2.353,212,219
820,978,-2.149,1.376,0.413,27,13.75,3920,63.25,71,0.407,1.387,-2.184,5,178
347,395,-5.002,1.481,0.335,67,69.75,3825,23,32,0.338,1.478,-5.011,111,1152
375,287,-4.898,1.508,0.346,65,66,3830,24.25,34,0.348,1.506,-4.905,67,303
212,342,-4.789,1.533,0.356,64,62.25,3835,25.5,35,0.359,1.531,-4.795,123,329
659,417,-4.676,1.556,0.368,62,58.5,3840,26.75,37,0.37,1.555,-4.681,247,533
437,223,-4.554,1.577,0.377,60,55,3845,28.25,39,0.38,1.576,-4.559,47,963
1506,317,-4.292,1.612,0.391,57,48.66,3850,31.89,42,0.394,1.612,-4.295,269,981
429,145,-4.433,1.595,0.391,59,51.1,3855,29.36,40,0.394,1.594,-4.436,80,354
962,138,-4.158,1.624,0.403,55,45,3860,33.25,44,0.406,1.624,-4.16,215,381
379,197,-4.016,1.632,0.412,53,41.75,3865,35,46,0.415,1.632,-4.017,237,843
554,192,-3.868,1.637,0.42,51,38.5,3870,36.75,48,0.423,1.637,-3.867,43,627
644,226,-3.715,1.637,0.427,49,35.5,3875,38.75,51,0.43,1.637,-3.713,70,426
