Strike,Type,Volume
3915,Call,4
3915,Put,97
3920,Call,7
3920,Put,1103
3925,Call,108
3925,Put,446
3930,Call,10
3930,Put,362
3935,Call,6
3935,Put,46
3940,Call,128
3940,Put,506
3945,Call,9
3945,Put,84
3950,Call,736
3950,Put,1982
3955,Call,265
3955,Put,246
3960,Call,185
3960,Put,257
3965,Call,95
3965,Put,246
3970,Call,217
3970,Put,654
3975,Call,397
3975,Put,231
3980,Call,799
3980,Put,507
3985,Call,668
3985,Put,65
3990,Call,696
3990,Put,38
3995,Call,91
3995,Put,16
4000,Call,3441
4000,Put,160
4005,Call,88
4005,Put,1
4010,Call,433
4010,Put,8
