Date,Security,Max Purchase Size
3/12/2021,Treasury Coupons 0* to 2.25,$12.825 billion
3/15/2021,Treasury Coupons 20 to 30,$1.750 billion
3/16/2021,Treasury Coupons 4.5 to 7,$6.025 billion
3/18/2021,Treasury Coupons 20 to 30,$1.750 billion
3/19/2021,TIPS 1 to 7.5,$2.425 billion
3/22/2021,Treasury Coupons 7 to 20,$3.625 billion
3/23/2021,TIPS 7.5 to 30,$1.225 billion
3/24/2021,Treasury Coupons 2.25 to 4.5,$8.825 billion
3/25/2021,Treasury Coupons 20 to 30,$1.750 billion
3/29/2021,Treasury Coupons 2.25 to 4.5,$8.825 billion
3/30/2021,TIPS 7.5 to 30,$1.225 billion
3/31/2021,Treasury Coupons 20 to 30,$1.750 billion
4/5/2021,Treasury Coupons 0* to 2.25,$12.825 billion
4/6/2021,Treasury Coupons 20 to 30,$1.750 billion
4/7/2021,Treasury Coupons 4.5 to 7,$6.025 billion
4/8/2021,TIPS 1 to 7.5,$2.425 billion
4/9/2021,Treasury Coupons 7 to 20,$3.625 billion
4/12/2021,Treasury Coupons 20 to 30,$1.750 billion
